40,10
400,250
700,250
400,250
400,600
400,250
800,200
400,600
14,10
374,250
700,250
400,250
400,600
400,250
800,200
400,600
11,8
371,248
700,250
400,250
400,600
400,250
800,200
400,600
10,7
370,247
700,250
400,250
400,600
400,250
800,200
400,600
8,7
368,247
700,250
400,250
400,600
400,250
800,200
400,600
6,6
366,246
700,250
400,250
400,600
400,250
800,200
400,600
5,19
365,259
700,250
400,250
400,600
400,250
800,200
400,600
23,18
383,258
700,250
400,250
400,600
400,250
800,200
400,600
23,16
383,256
700,250
400,250
400,600
400,250
800,200
400,600
20,13
380,253
700,250
400,250
400,600
400,250
800,200
400,600
19,13
379,253
700,250
400,250
400,600
400,250
800,200
400,600
17,11
377,251
700,250
400,250
400,600
400,250
800,200
400,600
13,7
373,247
700,250
400,250
400,600
400,250
800,200
400,600
10,6
370,246
700,250
400,250
400,600
400,250
800,200
400,600
6,29
366,269
700,250
400,250
400,600
400,250
800,200
400,600
29,29
389,269
700,250
400,250
400,600
400,250
800,200
400,600
29,25
389,265
700,250
400,250
400,600
400,250
800,200
400,600
25,22
385,262
700,250
400,250
400,600
400,250
800,200
400,600
22,22
382,262
700,250
400,250
400,600
400,250
800,200
400,600
20,19
380,259
700,250
400,250
400,600
400,250
800,200
400,600
17,16
377,256
700,250
400,250
400,600
400,250
800,200
400,600
13,16
373,256
700,250
400,250
400,600
400,250
800,200
400,600
13,16
373,256
700,250
400,250
400,600
400,250
800,200
400,600
10,13
370,253
700,250
400,250
400,600
400,250
800,200
400,600
7,10
367,250
700,250
400,250
400,600
400,250
800,200
400,600
27,9
387,249
700,250
400,250
400,600
400,250
800,200
400,600
25,7
385,247
700,250
400,250
400,600
400,250
800,200
400,600
23,20
383,260
700,250
400,250
400,600
400,250
800,200
400,600
21,18
381,258
700,250
400,250
400,600
400,250
800,200
400,600
21,17
381,257
700,250
400,250
400,600
400,250
800,200
400,600
17,17
377,257
700,250
400,250
400,600
400,250
800,200
400,600
14,17
374,257
700,250
400,250
400,600
400,250
800,200
400,600
13,17
373,257
700,250
400,250
400,600
400,250
800,200
400,600
13,13
373,253
700,250
